city,country,latitude,temp,humidity,cloud,wind
sapele,NG,5.89,74.17,93,100,2.39
thinadhoo,MV,0.53,83.89,76,61,5.66
belaya gora,RU,68.54,62.11,86,100,5.2
the valley,AI,18.22,84.09,69,40,5.7
jamestown,AU,-33.21,50.77,84,99,8.13
rikitea,PF,-23.12,73.63,82,26,7.48
bluff,AU,-23.58,54.19,56,0,1.32
cape town,ZA,-33.93,57.0,82,75,2.1
camapua,BR,-19.53,71.11,42,0,0.98
mataura,NZ,-46.19,44.98,84,100,1.34
riyadh,SA,24.63,89.58,10,0,2.6
debre tabor,ET,11.86,59.05,89,55,1.68
ushuaia,AR,-54.81,37.38,93,75,9.8
provideniya,RU,64.42,55.38,82,75,3
mar del plata,AR,-46.43,43.57,61,0,2.96
faya,SA,18.39,74.32,40,20,2.1
tasiilaq,GL,65.61,40.15,67,17,1.58
busselton,AU,-33.64,42.01,75,65,4.73
qaanaaq,GL,77.48,45.19,49,0,3.54
akdepe,TM,42.05,83.26,42,0,5.1
pevek,RU,69.7,46.63,73,34,3.56
beringovskiy,RU,63.05,66.61,56,0,1.32
portland,US,43.66,67.17,94,40,2.6
yanam,IN,16.73,79.39,88,100,3.37
tuktoyaktuk,CA,69.44,39.18,86,90,5.7
pahrump,US,36.21,102.77,6,1,6.7
punta arenas,CL,-53.16,40.98,86,90,8.2
port elizabeth,US,39.31,79.66,88,75,2.1
upernavik,GL,72.79,45.91,79,0,3.15
severo-kurilsk,RU,50.68,43.03,97,100,3.61
castro,CL,-42.48,46.38,93,75,3.1
ust-shonosha,RU,61.15,37.99,96,0,1.44
longyearbyen,NO,78.22,42.78,87,75,5.7
tarapur,IN,22.49,85.98,66,40,3.1
leningradskiy,RU,69.38,50.23,68,6,3.43
charters towers,AU,-20.07,57.25,58,2,3.46
hermanus,ZA,-34.42,55.97,97,100,0.45
victoria,BN,5.28,75.92,88,75,1
khani,GE,41.96,71.58,94,75,2.6
skibbereen,IE,51.55,60.78,82,75,4.6
santa rita do sapucai,BR,-22.25,53.29,79,0,0.36
srednekolymsk,RU,67.46,80.83,39,10,2.99
ilulissat,GL,69.22,44.58,81,40,2.6
hirara,JP,24.8,83.89,83,0,7.93
yellowknife,CA,62.45,60.78,72,90,2.1
luderitz,NA,-26.65,57.25,77,0,2.88
cabo san lucas,MX,22.89,87.02,45,5,5.1
vaini,IN,15.34,76.33,90,96,1.04
puerto ayora,EC,-0.74,76.75,57,20,8.7
nikolskoye,RU,59.7,43.84,81,20,1.3
norman wells,CA,65.28,55.38,62,75,5.1
gimli,CA,50.63,82.97,41,81,3.13
schruns,AT,47.08,55.07,93,0,0.5
todos santos,MX,23.45,87.46,48,5,4.1
bathsheba,BB,13.22,84.18,70,40,7.2
salalah,OM,17.01,80.58,94,90,1.5
thompson,CA,55.74,58.98,82,90,2.1
karpogory,RU,64,41.59,92,76,2.12
chihuahua,MX,28.66,92.42,23,75,3.6
ananindeua,BR,-1.37,84.18,70,75,3.1
batagay,RU,67.65,68.77,59,76,0.4
haines junction,CA,60.75,68.05,38,100,3.94
poum,MK,41.28,51.67,83,47,1.49
hithadhoo,MV,-0.6,84.25,75,41,5.39
new norfolk,AU,-42.78,44.67,65,20,6.2
broken hill,AU,-31.97,49.98,76,40,6.2
klaksvik,FO,62.23,51.78,93,54,4.1
ostrogozhsk,RU,50.86,54.73,91,0,2.43
brae,GB,60.4,52.81,93,54,5.1
ewa beach,US,21.32,82.88,65,40,5.7
gigmoto,PH,13.78,82.63,74,67,2.3
ancud,CL,-41.87,46.38,93,75,3.1
fortuna,US,40.6,73.06,77,40,6.2
thanh hoa,VN,10.21,76.98,100,94,1.5
salihorsk,BY,52.79,52.93,94,49,3.1
birjand,IR,32.86,78.78,21,0,5.1
khatanga,RU,71.98,50.23,60,1,3.71
saskylakh,RU,71.97,53.29,91,100,3.07
ambon,FR,47.55,65.95,77,0,3.6
torrington,US,42.06,96.38,23,1,4.1
chemin grenier,MU,-20.49,67.44,88,40,3.6
pundaguitan,PH,6.37,80.47,77,98,3.17
tongliao,CN,43.61,70.93,61,90,1.76
port alfred,ZA,-33.59,62.98,81,0,3.58
hilo,US,19.71,81.19,58,20,5.1
georgetown,GY,6.8,82.38,83,40,3.1
reviga,RO,44.71,60.78,77,75,3.1
sao gotardo,BR,-19.31,64.97,54,0,0.45
tres arroyos,AR,-38.38,53.29,71,100,1.06
velikiy ustyug,RU,60.76,40.33,95,8,0.29
springbok,ZA,-29.67,50.59,80,0,0.83
yatou,CM,3.63,77.05,87,100,7.79
mogadishu,SO,2.04,76.51,85,86,4.97
verkhnyaya inta,RU,65.99,55.09,93,93,7.65
mehamn,NO,71.03,46.13,61,0,2.1
cidreira,BR,-30.17,61.03,69,69,2.94
albany,US,42.65,77.27,100,75,2.31
bandrele,YT,-12.91,76.98,83,0,4.1
bredasdorp,ZA,-34.53,58.87,72,23,4.6
shenjiamen,CN,29.96,75.25,91,40,3.68
hamilton,CA,43.26,79.18,65,75,6.2
karratha,AU,-20.74,67.69,27,0,5.7
harlingen,NL,53.18,60.51,93,90,2.1
la ronge,CA,55.1,57.18,93,90,2.6
naze,NG,5.43,72.55,96,100,1.45
kodiak,US,39.95,83.33,17,40,3.1
saint-pierre,FR,48.95,66.5,56,0,1.5
sisophon,KH,13.59,72.73,90,100,1.62
plunge,LT,55.91,55.38,82,75,2.6
alta floresta,BR,-9.87,87.78,33,0,1
rawson,AR,-43.3,48.61,46,0,2.41
gunnedah,AU,-30.98,34.93,100,0,1.83
tuatapere,NZ,-46.13,44.98,84,100,1.34
awbari,LY,26.59,90.73,12,0,3.61
bennettsville,US,34.62,91.06,59,40,4.1
atuona,PF,-9.8,81.19,78,30,9.03
samarkand,UZ,39.65,78.78,44,0,2.1
laguna,BZ,16.17,85.98,55,40,3.1
lichuan,CN,30.3,66.07,97,100,0.4
lebu,ET,8.96,60.78,87,75,1
maltahohe,NA,-24.83,48.97,30,0,1.76
avarua,CK,-21.21,73.45,75,3,1.84
namibe,AO,-15.19,65.35,81,87,3.51
pangnirtung,CA,66.15,71.58,37,90,6.2
amahai,ID,-3.31,75.79,77,39,5.37
barrow,AR,-38.31,53.29,71,100,1.06
sarkand,KZ,45.41,60.13,38,0,0.37
ibra,OM,22.69,77.77,52,95,1.09
saint-philippe,CA,45.36,80.83,74,90,5.7
saint-joseph,FR,43.56,75.43,88,0,1
vila velha,BR,-3.71,79.75,74,20,4.1
kedrovyy,RU,56.17,49.98,100,0,1.75
butaritari,KI,3.07,84.61,73,40,5.33
innisfail,AU,-17.52,59.99,99,73,0.45
port blair,IN,11.67,82.27,82,100,6
bambous virieux,MU,-20.34,67.46,88,40,3.6
antalaha,MG,-14.9,62.65,98,17,1.29
meulaboh,ID,4.14,81.91,81,70,3.42
bethel,US,60.79,66.61,82,75,2.1
ponta do sol,BR,-20.63,60.13,52,0,0.62
dikson,RU,73.51,33.49,97,68,3.77
mount gambier,AU,-37.83,49.98,93,75,8.7
planaltina,BR,-15.62,69.44,38,0,2.1
narsaq,GL,60.91,55.38,58,0,3.6
geraldton,CA,49.72,73.38,43,75,3.6
kapaa,US,22.08,82.63,70,40,4.6
clyde river,CA,70.47,46.38,87,75,9.3
torbay,CA,47.66,48.54,93,90,6.7
zhanakorgan,KZ,43.91,86.41,18,0,6.2
hobyo,SO,5.35,78.31,70,60,10.44
ornskoldsvik,SE,63.29,54.57,66,74,1.5
saint george,GR,39.45,67.01,72,40,1.58
sao jose da coroa grande,BR,-8.9,71.47,93,78,1.64
vao,EE,59.1,45.19,78,41,0.83
hobart,AU,-42.88,44.65,65,20,6.2
hovd,NO,63.83,53.65,82,0,5.1
souillac,FR,45.6,70.18,43,0,2.1
gushikawa,JP,26.35,80.87,94,90,3.6
canutama,BR,-6.53,83.35,61,86,1.06
kohima,IN,25.66,63.37,99,100,1.53
sioux lookout,CA,50.1,78.78,47,40,5.1
malatya,TR,38.35,76.98,36,75,1
tecoanapa,MX,16.99,87.78,70,40,4.1
cherskiy,RU,68.75,73.63,45,99,1.82
ibb,YE,13.97,74.17,50,100,2.63
mahebourg,MU,-20.41,67.42,88,40,3.6
winnemucca,US,40.97,93.79,14,1,2.65
nesbyen,NO,60.57,52.45,65,85,2.68
griffith,AU,-34.29,49.66,81,90,5.7
goundam,ML,16.42,95.23,32,0,2.79
gat,SN,14.69,76.98,73,29,3.6
jieshi,CN,22.82,81.98,95,100,0.45
abu dhabi,AE,24.47,87.74,84,0,2.1
vestmannaeyjar,IS,63.44,53.29,88,100,6.29
san quintin,PH,17.54,74.89,89,0,1.54
khandela,IN,27.61,86.05,55,0,8.86
nipawin,CA,53.36,66.18,82,75,2.6
torbat-e jam,IR,35.24,74.89,22,0,4.73
skibotn,NO,69.39,46.7,87,0,1
caravelas,BR,-17.73,72.01,70,22,2.49
loo,RU,43.7,71.15,83,90,1
mahuva,IN,21.09,82.63,78,98,6.5
gao,ML,16.28,90.91,35,67,2.77
porto nacional,BR,-10.7,87.78,33,20,2.6
baraboo,US,43.47,81.07,32,1,4.1
aljezur,PT,37.31,70.99,89,98,2.04
chuy,UY,-33.69,56.71,75,100,3.44
harper,US,30.3,91.07,41,40,4.1
bambui,CM,6.01,61.57,97,100,1.56
emerald,AU,-23.53,46.69,100,0,2.1
faanui,PF,-16.48,78.13,70,2,4.12
tiksi,RU,71.64,52.57,70,100,5.46
normandin,CA,48.84,76.98,61,90,4.6
tekirdag,TR,40.98,58.98,87,0,3.1
novokayakent,RU,42.39,73.07,88,40,1
boende,CD,-0.28,70.93,91,100,0.96
fuerte,PH,17.54,84.43,74,0,2.76
cervo,BR,-22.19,56.17,63,0,0.49
at-bashi,KG,41.17,54.91,36,0,2.24
porto novo,BR,-23.68,62.58,72,0,2.03
arraial do cabo,BR,-22.97,67.01,77,0,2.1
arlit,NE,18.74,99.91,9,64,5.2
saint-augustin,CA,45.63,80.94,83,90,1
wuda,CN,39.5,72.91,39,85,2.52
kruisfontein,ZA,-34,54.91,88,26,7.17
la libertad,PE,-16.38,64.38,16,0,4.1
east london,ZA,-33.02,56.17,72,0,3.3
amapa,HN,15.09,93.18,56,40,8.2
riviere-au-renard,CA,49,69.78,52,75,3.6
pacific grove,US,36.62,79.63,33,1,6.7
sao joao da barra,BR,-21.64,71.58,73,0,4.1
garwa,IN,27.63,78.13,91,100,2.27
qaqortoq,GL,60.72,55.38,58,0,3.6
batagay-alyta,RU,67.8,62.65,58,100,0.51
pierre,US,44.37,88.14,46,1,6.2
kaitangata,NZ,-46.28,43.99,80,100,0.45
yulara,AU,-25.24,44.58,39,100,2.6
platteville,US,42.73,82.83,51,1,4.1
tshela,CD,-4.99,69.67,88,67,0.84
fare,PF,-16.7,78.31,70,0,4.41
khandyga,RU,62.65,73.09,61,0,1.47
severo-yeniseyskiy,RU,60.37,46.27,77,14,1.46
paris,FR,48.86,70.14,53,0,2.6
panama city,US,30.16,85.28,74,75,5.7
berwick,US,29.69,88.57,66,100,5.3
adrar,DZ,27.87,105.78,12,24,4.1
carnarvon,ZA,-30.97,54.73,22,0,4.5
shirokiy,RU,53.87,52.99,90,0,1.61
sitka,US,37.17,85.98,52,96,1.34
esperance,AU,-33.86,51.78,100,90,3.6
kimbe,PG,-5.56,70.93,80,34,2.26
lima,PE,-12.06,66.18,77,75,5.1
jardim,BR,-21.48,74.53,53,0,1.65
port hawkesbury,CA,45.62,63.95,59,1,6.2
jodar,ES,37.84,80.13,31,27,1.79
krasnyy chikoy,RU,50.36,54.91,94,0,0.39
necochea,AR,-38.55,52.03,87,100,1.64
kabompo,ZM,-13.6,57.79,35,21,2.26
sambava,MG,-14.27,64.45,96,0,0.67
flinders,AU,-34.58,54.34,58,40,5.1
flin flon,CA,54.77,58.98,82,90,3.6
mao,DO,19.55,89.36,46,40,7.2
husavik,CA,50.56,82.97,40,98,4.47
high level,CA,58.52,78.78,26,20,2.6
kiunga,PG,-6.12,65.89,99,88,0.77
ust-kut,RU,56.78,58.33,78,53,1.35
saldanha,PT,41.42,80.83,36,0,1.99
nha trang,VN,12.24,80.58,78,20,1
coquimbo,CL,-29.95,56.28,76,0,4.1
monrovia,LR,6.33,73.38,94,40,4.59
tura,RU,64.27,58.33,82,99,4.3
grand island,US,40.92,83.46,54,1,2.6
huarmey,PE,-10.07,63.19,88,0,5.67
altay,CN,47.83,48.43,76,77,2.39
rubik,AL,41.77,62.58,88,0,1
quatre cocos,MU,-20.21,67.49,88,40,3.6
rocha,UY,-34.48,55.63,93,100,2.71
djibo,BF,14.1,94.69,32,13,1.74
sept-iles,CA,50.2,58.48,67,90,5.7
zhigansk,RU,66.77,71.11,55,100,2.78
togul,RU,53.47,54.55,90,0,2.29
lagoa,PT,37.14,70.7,88,0,2.1
farmington,US,36.73,91.87,14,1,3.1
bintulu,MY,3.17,73.38,94,40,2.1
hambantota,LK,6.12,78.78,100,40,2.6
honiara,SB,-9.43,75.18,100,75,2.6
vigrestad,NO,58.57,51.55,100,90,1.5
melfi,IT,41,66.18,77,75,2.6
nuuk,GL,64.17,48.09,76,20,3.6
visnes,NO,59.36,51.37,93,0,2.1
vikhorevka,RU,56.12,58.98,87,100,2
saratoga springs,US,43.08,76.58,100,75,2.31
ust-uda,RU,54.17,55.09,90,27,2.13
lata,IN,30.78,41.05,95,20,0.93
canon city,US,39.46,91.38,9,1,3.1
turan,RU,52.15,51.85,90,100,1.65
constitucion,MX,23.99,78.42,31,75,6.2
tsumeb,NA,-19.25,59.05,17,0,3.44
senador guiomard,BR,-10.15,89.58,46,20,2.1
barrhead,CA,54.12,64.38,72,75,4.6
kieta,PG,-6.22,78.31,85,100,3.11
lyubech,UA,51.7,53.65,93,54,1.99
lingdong,CN,28.06,72.19,98,100,1.24
los llanos de aridane,ES,28.66,71.58,73,0,4.1
friesenheim,DE,48.31,63.44,56,0,2.1
icod de los vinos,ES,28.37,69.98,73,75,6.2
robertsport,LR,6.75,76.33,87,93,4.33
jian,IN,25.65,81.01,85,100,2.51
mandalgovi,MN,45.76,67.33,53,99,3.1
porosozero,RU,62.72,39.97,93,100,2.07
samarai,PG,-10.62,69.31,83,100,3.58
tarabuco,BO,-19.18,71.58,11,0,7.2
baiyin,CN,36.55,51.78,100,0,2
san patricio,PY,-26.98,70.93,79,10,2.48
bubaque,GW,11.28,80.29,84,99,4.63
kropotkin,RU,45.43,61.93,95,99,2.28
bogorodskoye,RU,52.37,60.67,94,100,0.33
cockburn town,TC,21.46,87.78,74,40,6.2
kinablangan,PH,7.69,71.47,85,45,1.9
ahipara,NZ,-35.17,59.23,90,100,14.91
kavieng,PG,-2.57,81.73,80,100,7.67
phalaborwa,ZA,-23.95,67.98,28,0,0.5
lianzhou,CN,24.79,69.49,99,100,1
kupang,ID,-10.16,73.38,78,20,5.1
bernay,FR,49.09,60.96,93,0,1.5
masterton,NZ,-40.95,54.61,70,89,1.07
tome,JP,38.69,64.38,93,75,3.1
avera,US,33.19,92.37,52,40,3.6
ribeira grande,PT,38.52,71.58,78,20,2.1
saint anthony,US,43.97,88.52,19,1,6.2
chuncheng,CN,22.17,84.97,76,89,0.06
moose factory,CA,51.26,62.58,55,1,8.7
lompoc,US,34.64,73.58,72,75,4.6
madang,CN,35.32,33.13,89,7,0.47
ararangua,BR,-28.93,61.75,72,100,2.17
kastamonu,TR,41.38,51.13,98,78,1.4
sfantu gheorghe,RO,44.65,60.24,93,20,4.1
dongli,CN,24.18,80.58,88,40,1
hofn,IS,64.25,55.38,76,75,3.1
goderich,CA,43.74,66.47,72,50,5.36
sinnai,IT,39.3,76.33,73,0,4.6
alyangula,AU,-13.85,66.18,100,100,3.09
werda,BW,-25.27,58.87,24,0,2.58
athabasca,CA,54.72,68.59,53,74,1.95
ukiah,US,39.15,84.59,35,1,5.1
deputatskiy,RU,69.3,61.03,77,67,0.56
cervignano del friuli,IT,45.82,64.49,88,90,1.5
chokurdakh,RU,70.62,56.35,88,100,4.02
ouricuri,BR,-7.88,71.29,73,80,2.82
lander,US,42.83,92.12,14,1,2.1
wanning,AT,48.64,57.49,92,100,1.83
henties bay,NA,-22.12,53.98,94,0,4.36
lorengau,PG,-2.02,78.85,81,98,6.53
san policarpo,PH,12.18,78.13,85,100,2.24
richards bay,ZA,-28.77,70.93,78,0,8.71
nome,US,30.04,92.57,70,75,2.63
sao filipe,CV,14.9,71.83,85,5,7.06
parola,IN,20.88,79.93,81,100,1.9
rabo de peixe,PT,37.8,69.78,83,20,3.1
graham,US,33.11,92.3,56,40,3.1
itoman,JP,26.12,80.85,94,90,3.6
mackay,CA,53.65,65.42,68,66,3.6
omsukchan,RU,62.53,71.29,36,0,1.14
hay river,CA,60.82,82.38,26,75,5.1
menongue,AO,-14.66,51.85,28,0,1.39
roma,IT,41.89,71.4,78,0,2.1
ocosingo,MX,16.91,74.53,82,72,1.52
rochester,US,44.02,80.38,42,1,1.5
naushki,RU,50.39,61.21,90,2,1.8
tambacounda,SN,13.77,87.78,74,75,1
port hedland,AU,-20.31,64.38,34,100,2.6
jacksonville,US,30.33,88.86,62,75,7.7
manacapuru,BR,-3.3,78.78,78,40,1
kushiro,JP,43.11,56.35,90,84,2.56
cap-aux-meules,CA,47.38,58.98,72,75,2.6
cayenne,GF,4.94,76.98,88,66,1
veraval,FR,49.65,60.56,77,0,1.5
purpe,RU,64.48,67.98,78,48,6.5
mackenzie,CA,55.34,69.78,60,20,7.7
kharan,PK,28.58,84.07,48,0,2.81
belgrade,RS,44.82,60.74,72,0,3.1
turkmenabat,TM,39.09,87.78,25,0,4.1
gravdal,NO,59.79,54.28,93,0,2.1
bestobe,KZ,52.5,68.41,46,100,5.3
narrabri,AU,-30.33,41.97,75,0,2.1
pasni,PK,25.26,82.99,74,93,2.41
shingu,JP,33.72,69.13,97,96,1.53
pathein,MM,16.78,79.39,90,100,2.86
romny,UA,50.74,53.83,93,0,2.44
bafq,IR,31.6,84.61,14,67,2.9
altamira,BR,-3.2,87.78,62,40,1.5
paita,PE,-5.09,62.58,290,0,7.2
yashan,CN,30.81,73.63,81,96,1.07
santiago del estero,AR,-27.8,73.27,56,13,1.47
vostok,RU,46.45,61.57,92,96,1.22
alakurtti,RU,66.96,46.97,59,100,1.79
terrace,CA,54.52,66.07,72,90,4.6
campbell river,CA,50.02,69.62,72,75,4.1
muros,ES,42.77,67.37,93,0,1
tenenkou,ML,14.46,94.15,34,0,1.34
dwarka,IN,28.58,93.18,70,20,1.5
maniitsoq,GL,65.42,45.73,86,19,2.04
eresos,GR,39.17,72.73,69,0,5.67
lakhimpur,IN,27.24,64.81,99,100,1.18
elko,US,40.83,93.0,12,1,5.1
egvekinot,RU,66.32,74.71,25,0,2.23
port lincoln,AU,-34.72,57.43,76,79,14.59
road town,VG,18.42,84.29,66,40,6.2
changde,CN,29.04,71.11,98,100,1.97
sabang,PH,13.8,73.27,94,0,0.82
halmstad,SE,56.67,54.82,82,0,1
tautira,PF,-17.73,84.18,70,20,5.7
fereydun kenar,IR,36.69,76.98,88,75,3.1
komsomolskiy,RU,67.55,55.09,90,100,3.25
makakilo city,US,21.35,83.62,78,40,4.1
sierra vista,US,31.55,97.66,17,40,7.2
olinda,AU,-37.84,52.68,76,75,9.8
chara,GR,39.42,67.04,72,40,1.58
tyukhtet,RU,56.54,49.51,91,0,1.33
vila franca do campo,PT,37.72,69.78,83,20,3.1
basco,US,40.33,83.5,51,20,3.1
felipe carrillo puerto,MX,19.58,97.57,36,96,3.2
suisun city,US,38.24,81.97,31,1,2.1
ler,NO,63.2,54.07,82,0,5.1
airai,TL,-8.93,66.07,85,0,2.41
rosamorada,MX,22.12,89.83,57,12,5.56
lubango,AO,-14.92,55.99,89,0,0.57
parnu,EE,58.39,48.97,95,34,1.34
kollam,IN,8.88,78.78,94,40,2.6
ust-nera,RU,64.57,62.47,70,77,2.2
berlevag,NO,70.86,44.63,87,0,4.1
tabou,CI,4.42,72.91,87,84,2.04
vershino-darasunskiy,RU,52.35,57.43,81,14,1.17
sarahan,IN,31.51,60.31,83,24,1.65
brovary,UA,50.51,55.25,100,0,2
banatski karlovac,RS,45.05,59.66,82,0,2.1
matara,BI,-3.48,50.59,83,80,0.45
guajara,BR,-0.88,84.18,70,75,3.1
terekli-mekteb,RU,44.16,78.13,63,100,3.66
governador valadares,BR,-18.85,68.59,58,0,1.19
manggar,ID,-2.88,76.33,87,0,2.38
cooma,AU,-36.24,44.58,82,75,4.6
lumby,CA,50.25,77.52,39,1,3.6
bani walid,LY,31.76,76.87,56,0,1.46
noumea,NC,-22.28,64.38,88,0,7.21
anderson,US,34.51,87.38,62,75,4.1
el real de santa maria,PA,8.11,82.81,74,100,2.28
petropavlovsk-kamchatskiy,RU,53.05,53.58,100,90,3
lillehammer,NO,61.11,57.97,66,100,0.11
brejo,BR,-3.68,76.15,87,0,2.3
omboue,GA,-1.57,73.45,90,100,5.42
agirish,RU,61.92,55.09,81,50,2.59
alim,CF,6.02,65.17,97,100,1.14
tommot,RU,58.97,61.93,92,0,0.14
grand gaube,MU,-20.01,67.57,88,40,3.6
sur,OM,22.57,85.15,52,66,4.96
santa fe,AR,-31.62,69.22,64,100,0.89
vardo,US,39.62,72.8,94,40,3.6
elizabeth city,US,36.3,88.54,66,1,6.2
san cristobal,HN,14.68,86.41,43,20,3.97
berdigestyakh,RU,62.1,65.89,70,0,0.66
homer,US,59.64,62.71,72,1,5.1
arrifes,PT,37.77,69.78,83,20,3.1
araouane,ML,18.9,98.47,23,0,4.26
honningsvag,NO,70.98,48.18,61,0,2.1
yar-sale,RU,66.83,56.53,95,100,3.39
gazojak,TM,41.19,87.85,21,0,6.25
comodoro rivadavia,AR,-45.87,51.78,62,0,1
eyl,SO,7.98,78.85,66,100,11.72
aklavik,CA,68.22,48.18,61,75,6.2
isangel,VU,-19.55,75.18,83,75,5.61
san pedro,AR,-33.68,59.07,86,100,1.79
kolomna,RU,55.09,54.48,87,75,2
kahului,US,20.89,83.08,45,20,6.2
tripoli,GR,37.51,74.62,65,40,2.6
auki,NG,12.18,75.79,74,75,6.2
rodionovo-nesvetayskaya,RU,47.61,62.58,82,20,1
broome,GB,52.47,65.37,82,84,1.5
bara,NG,10.41,71.65,91,91,3.97
kununurra,AU,-15.77,55.38,76,51,6.06
presidencia roque saenz pena,AR,-26.79,78.31,55,0,2.34
burnie,AU,-41.05,46.51,85,98,2.24
iracoubo,GF,5.48,78.67,90,10,2.88
rodbyhavn,DK,54.65,62.63,81,100,3.28
port hardy,CA,50.7,62.58,88,75,2.6
katsuura,JP,33.93,72.46,94,90,1.5
kazlu ruda,LT,54.77,57.18,93,90,2.78
norfolk,US,36.85,89.38,70,1,4.1
murgab,TM,37.5,85.98,35,0,2.1
bereda,ES,43.27,63.08,93,20,1
kiama,AU,-34.67,57.02,58,40,5.1
luau,CD,-10.7,64.27,29,0,2.41
guryevsk,RU,54.28,50.05,91,0,2.41
syracuse,US,43.05,82.15,74,20,3.6
perth,AU,-31.95,45.43,93,5,1
talnakh,RU,69.49,51.78,76,94,3
calafell,ES,41.2,76.91,83,0,2.83
severiano melo,BR,-5.78,78.13,59,71,2.35
shiyan,CN,32.65,64.27,98,100,2.16
guerrero negro,MX,27.97,67.87,85,0,8.48
oranjemund,ZA,-28.55,56.17,86,0,3.66
codrington,AU,-28.95,49.55,93,0,2.1
sulangan,PH,11.14,82.99,72,2,1.72
enshi,CN,30.29,62.11,97,100,0.96
preobrazheniye,RU,42.9,56.53,98,100,1.31
whakatane,NZ,-37.96,48.79,99,67,0.45
araceli,PH,10.55,73.99,95,78,0.3
kassala,SD,15.45,87.31,42,89,7.85
youghal,IE,51.95,61.55,82,75,4.6
nanortalik,GL,60.14,39.61,92,100,2.45
vallenar,CL,-28.58,57.61,64,71,2.69
la palma,CO,5.36,85.87,49,87,1.57
aykhal,RU,65.95,58.98,87,90,1
uvinza,TZ,-5.1,68.05,60,0,0.73
eregli,TR,37.51,68.05,59,0,1.44
port augusta,AU,-32.49,52.88,81,40,5.7
karwar,IN,14.8,79.21,83,100,0.92
khandbari,NP,27.38,57.25,93,100,0.81
nishihara,JP,35.74,66.31,93,90,2.1
sistranda,NO,63.73,50.61,93,40,3.6
